feature,importance,importance_std,fold
idSASA_fraction_1,0.053,0.06,0
idhSASA_sc_0,0.011,0.012,0
idSASA_0,0.027,0.045,0
dE2,0.065,0.044,0
iinterface_residues_1,0.016,0.035,0
idSASA_fraction_0,0.021,0.022,0
idSASA_sc_0,0.029,0.049,0
fa_rep_1,0.014,0.017,0
hbond_bb_sc_0,0.007,0.013,0
fa_atr_1,0.019,0.026,0
iinterface_hbonds,0.002,0.008,0
isc_value,0.045,0.031,0
idelta_unsat_hbonds,0.003,0.007,0
fa_elec_0,0.05,0.048,0
sin_res,0.056,0.065,0
sin_norm,0.067,0.075,0
lk_ball_wtd_1,0.018,0.017,0
fa_atr_0,0.058,0.071,0
total_score_0,0.056,0.042,0
fa_sol_0,0.076,0.079,0
hbond_bb_sc_1,0.005,0.008,0
total_score_1,0.014,0.014,0
hbond_sc_0,0.007,0.013,0
idhSASA_sc_1,0.031,0.043,0
fa_elec_1,0.014,0.015,0
idG_1,0.055,0.041,0
fa_sol_1,0.018,0.026,0
aif_score,0.079,0.085,0
sin_if,0.024,0.02,0
idhSASA_1,0.029,0.038,0
fa_rep_0,0.031,0.028,0
idSASA_fraction_1,0.03,0.042,1
idhSASA_sc_0,0.012,0.016,1
idSASA_0,0.037,0.057,1
dE2,0.065,0.046,1
iinterface_residues_1,0.007,0.023,1
idSASA_fraction_0,0.02,0.028,1
idSASA_sc_0,0.038,0.063,1
fa_rep_1,0.015,0.02,1
hbond_bb_sc_0,0.003,0.008,1
fa_atr_1,0.027,0.038,1
iinterface_hbonds,0.003,0.009,1
isc_value,0.025,0.021,1
idelta_unsat_hbonds,0.005,0.009,1
fa_elec_0,0.071,0.071,1
sin_res,0.067,0.08,1
sin_norm,0.072,0.087,1
lk_ball_wtd_1,0.017,0.016,1
fa_atr_0,0.079,0.089,1
total_score_0,0.069,0.056,1
fa_sol_0,0.069,0.074,1
hbond_bb_sc_1,0.003,0.006,1
total_score_1,0.017,0.018,1
hbond_sc_0,0.008,0.014,1
idhSASA_sc_1,0.014,0.022,1
fa_elec_1,0.016,0.016,1
idG_1,0.044,0.037,1
fa_sol_1,0.019,0.028,1
aif_score,0.077,0.085,1
sin_if,0.024,0.021,1
idhSASA_1,0.02,0.028,1
fa_rep_0,0.028,0.023,1
idSASA_fraction_1,0.036,0.045,2
idhSASA_sc_0,0.01,0.012,2
idSASA_0,0.024,0.039,2
dE2,0.114,0.075,2
iinterface_residues_1,0.009,0.026,2
idSASA_fraction_0,0.018,0.021,2
idSASA_sc_0,0.023,0.038,2
fa_rep_1,0.012,0.017,2
hbond_bb_sc_0,0.002,0.007,2
fa_atr_1,0.016,0.02,2
iinterface_hbonds,0.008,0.021,2
isc_value,0.033,0.028,2
idelta_unsat_hbonds,0.003,0.006,2
fa_elec_0,0.061,0.062,2
sin_res,0.052,0.062,2
sin_norm,0.057,0.065,2
lk_ball_wtd_1,0.015,0.016,2
fa_atr_0,0.045,0.057,2
total_score_0,0.075,0.062,2
fa_sol_0,0.069,0.071,2
hbond_bb_sc_1,0.005,0.008,2
total_score_1,0.011,0.013,2
hbond_sc_0,0.009,0.017,2
idhSASA_sc_1,0.02,0.029,2
fa_elec_1,0.014,0.015,2
idG_1,0.054,0.049,2
fa_sol_1,0.016,0.022,2
aif_score,0.102,0.091,2
sin_if,0.028,0.024,2
idhSASA_1,0.021,0.027,2
fa_rep_0,0.038,0.034,2
idSASA_fraction_1,0.028,0.04,3
idhSASA_sc_0,0.01,0.011,3
idSASA_0,0.019,0.031,3
dE2,0.077,0.059,3
iinterface_residues_1,0.007,0.021,3
idSASA_fraction_0,0.016,0.018,3
idSASA_sc_0,0.024,0.042,3
fa_rep_1,0.013,0.015,3
hbond_bb_sc_0,0.003,0.007,3
fa_atr_1,0.02,0.026,3
iinterface_hbonds,0.005,0.012,3
isc_value,0.03,0.026,3
idelta_unsat_hbonds,0.004,0.007,3
fa_elec_0,0.069,0.071,3
sin_res,0.057,0.075,3
sin_norm,0.079,0.087,3
lk_ball_wtd_1,0.016,0.015,3
fa_atr_0,0.091,0.087,3
total_score_0,0.091,0.075,3
fa_sol_0,0.083,0.085,3
hbond_bb_sc_1,0.005,0.008,3
total_score_1,0.013,0.014,3
hbond_sc_0,0.013,0.021,3
idhSASA_sc_1,0.014,0.021,3
fa_elec_1,0.013,0.014,3
idG_1,0.054,0.045,3
fa_sol_1,0.017,0.021,3
aif_score,0.055,0.067,3
sin_if,0.017,0.016,3
idhSASA_1,0.018,0.02,3
fa_rep_0,0.038,0.033,3
idSASA_fraction_1,0.033,0.048,4
idhSASA_sc_0,0.01,0.012,4
idSASA_0,0.031,0.049,4
dE2,0.073,0.049,4
iinterface_residues_1,0.009,0.029,4
idSASA_fraction_0,0.018,0.02,4
idSASA_sc_0,0.038,0.061,4
fa_rep_1,0.013,0.016,4
hbond_bb_sc_0,0.003,0.007,4
fa_atr_1,0.022,0.028,4
iinterface_hbonds,0.005,0.013,4
isc_value,0.025,0.022,4
idelta_unsat_hbonds,0.004,0.008,4
fa_elec_0,0.062,0.058,4
sin_res,0.053,0.066,4
sin_norm,0.07,0.077,4
lk_ball_wtd_1,0.023,0.021,4
fa_atr_0,0.08,0.084,4
total_score_0,0.071,0.049,4
fa_sol_0,0.091,0.085,4
hbond_bb_sc_1,0.007,0.009,4
total_score_1,0.016,0.015,4
hbond_sc_0,0.009,0.016,4
idhSASA_sc_1,0.022,0.03,4
fa_elec_1,0.015,0.013,4
idG_1,0.036,0.03,4
